normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
深圳铁路公安处基层所队民警,岗位标签,title_or_tag,6,6,government:6,job_8be7a9796aa35f2014ad;job_7543399966086c539c71;job_ed3816f9fd46e1565bf4,深圳铁路公安处基层所队民警 | 深圳铁路公安处基层所队民警 | 深圳铁路公安处基层所队民警,深圳铁路公安处基层所队民警 | 深圳铁路公安处基层所队民警 | 深圳铁路公安处基层所队民警
科技管理（统计分析应用类）二级主办及以下,岗位标签,title_or_tag,6,6,government:6,job_9bdff5cca4faa921da92;job_3c72bc62ab34fdfc72e3;job_8d36cbd77a79d40ecc43,科技管理（统计分析应用类）二级主办及以下 | 科技管理（统计分析应用类）二级主办及以下 | 科技管理（统计分析应用类）二级主办及以下,科技管理（统计分析应用类）二级主办及以下 | 科技管理（统计分析应用类）二级主办及以下 | 科技管理（统计分析应用类）二级主办及以下
稽查局一级主办及以下,岗位标签,title_or_tag,6,6,government:6,job_f8ac981cdc8050c2c449;job_f3d338117a9cd6da203d;job_37a4aff399ec5618ff62,稽查局一级主办及以下 | 稽查局一级主办及以下 | 稽查局一级主办及以下,稽查局一级主办及以下 | 稽查局一级主办及以下 | 稽查局一级主办及以下
经济与贸易类、财会审计类,岗位标签,title_or_tag,6,6,government:6,job_5d2da7e8f046c6c33d3b;job_a8c34a8b0e45ddafb8a9;job_4da91fc826efaf6daff4,一级行政执法员（六） | 一级行政执法员（三） | 一级行政执法员（四）,经济与贸易类、财会审计类 | 经济与贸易类、财会审计类 | 经济与贸易类、财会审计类
经济与贸易类、金融学类、管理科学与工程类、社会保障类,岗位标签,title_or_tag,6,6,government:6,job_bd99c397f686b1a6600f;job_518cf7b145747b2a55cd;job_f0f4b3a2420460c0f814,一级行政执法员（三） | 一级行政执法员（一） | 一级行政执法员（二）,经济与贸易类、金融学类、管理科学与工程类、社会保障类 | 经济与贸易类、金融学类、管理科学与工程类、社会保障类 | 经济与贸易类、金融学类、管理科学与工程类、社会保障类
经济学、金融学、金融工程、经济与贸易类、财政学类,岗位标签,title_or_tag,6,6,government:6,job_f02040ca0c4b34c6de05;job_d54fb362ba222dd1c88b;job_4ac8c8b16d634a4e7d4a,税收征管二级主办及以下 | 税收征管一级行政执法员 | 税收征管四级主办及以下,经济学、金融学、金融工程、经济与贸易类、财政学类 | 经济学、金融学、金融工程、经济与贸易类、财政学类 | 经济学、金融学、金融工程、经济与贸易类、财政学类
经济学类、经济与贸易类、电子商务类,岗位标签,title_or_tag,6,6,government:6,job_355114ac048f45861773;job_bbb95bda43b1e81c9c4b;job_e4299eb6ab5791f13e55,一级行政执法员（二） | 一级行政执法员（三） | 一级行政执法员（三）,经济学类、经济与贸易类、电子商务类 | 经济学类、经济与贸易类、电子商务类 | 经济学类、经济与贸易类、电子商务类
经济学类、经济与贸易类、财会审计类,岗位标签,title_or_tag,6,6,government:6,job_646af402151f86f3ee2d;job_25cf96f838920e1d0cf5;job_49c6d6fc7b08a5479b8f,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员,经济学类、经济与贸易类、财会审计类 | 经济学类、经济与贸易类、财会审计类 | 经济学类、经济与贸易类、财会审计类
经济学类、经济与贸易类、财会审计类、社会保障类,岗位标签,title_or_tag,6,6,government:6,job_0807b685886750701118;job_957554fc5b02260ed1fc;job_34e57d24d9f85a2499a5,一级行政执法员（七） | 一级行政执法员（三） | 一级行政执法员（四）,经济学类、经济与贸易类、财会审计类、社会保障类 | 经济学类、经济与贸易类、财会审计类、社会保障类 | 经济学类、经济与贸易类、财会审计类、社会保障类
经济学类、财政学类、经济与贸易类、工商管理类,岗位标签,title_or_tag,6,6,government:6,job_90d2809c7919cabd863b;job_a4bb17f6b64c602fc5d6;job_dd8e4ed1acc923f712b1,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（四）,经济学类、财政学类、经济与贸易类、工商管理类 | 经济学类、财政学类、经济与贸易类、工商管理类 | 经济学类、财政学类、经济与贸易类、工商管理类
经济学类、财政学类、金融学类、工商管理类、公共管理类,岗位标签,title_or_tag,6,6,government:6,job_a86a9e03bb6638ecac72;job_635fb6420ed02527567c;job_8ee1b50bbcaf4c257c83,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（二）,经济学类、财政学类、金融学类、工商管理类、公共管理类 | 经济学类、财政学类、金融学类、工商管理类、公共管理类 | 经济学类、财政学类、金融学类、工商管理类、公共管理类
经济学类、财政学类、金融学类、工商管理类、社会保障类,岗位标签,title_or_tag,6,6,government:6,job_c8b34717fccff0c36502;job_e98f485fba4422143def;job_5a789a83b7c97a1728d7,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（一）,经济学类、财政学类、金融学类、工商管理类、社会保障类 | 经济学类、财政学类、金融学类、工商管理类、社会保障类 | 经济学类、财政学类、金融学类、工商管理类、社会保障类
经济学类、财政学类、金融学类、管理科学与工程类、工商管理类、社会保障类,岗位标签,title_or_tag,6,6,government:6,job_ea4e083eb5b0bf751e86;job_cd6d9053d4d2c4b60f74;job_d61f562146331a12a70d,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（三）,经济学类、财政学类、金融学类、管理科学与工程类、工商管理类、社会保障类 | 经济学类、财政学类、金融学类、管理科学与工程类、工商管理类、社会保障类 | 经济学类、财政学类、金融学类、管理科学与工程类、工商管理类、社会保障类
经济学类、财政学类、金融学类、管理科学与工程类、财会审计类、公共管理类,岗位标签,title_or_tag,6,6,government:6,job_313a88d7b60a89a42db2;job_b3353630741a4c2e0eaf;job_c7b77eb290829ef63251,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（三）,经济学类、财政学类、金融学类、管理科学与工程类、财会审计类、公共管理类 | 经济学类、财政学类、金融学类、管理科学与工程类、财会审计类、公共管理类 | 经济学类、财政学类、金融学类、管理科学与工程类、财会审计类、公共管理类
经济学类、财政学类、金融学类、经济与贸易类、社会保障类,岗位标签,title_or_tag,6,6,government:6,job_bd90ff390b4f416ba819;job_bd54ab66ba0c0452b1c2;job_d96fd1427c3abcfb91ed,一级行政执法员（五） | 一级行政执法员（三） | 一级行政执法员（一）,经济学类、财政学类、金融学类、经济与贸易类、社会保障类 | 经济学类、财政学类、金融学类、经济与贸易类、社会保障类 | 经济学类、财政学类、金融学类、经济与贸易类、社会保障类
经济学类、金融学类、管理科学与工程类,岗位标签,title_or_tag,6,6,government:6,job_2436c6ac146aeed951d1;job_d54c481cdf76a52a8c47;job_a950fadc256d0c81b9a9,一级行政执法员（五） | 一级行政执法员（六） | 一级行政执法员（五）,经济学类、金融学类、管理科学与工程类 | 经济学类、金融学类、管理科学与工程类 | 经济学类、金融学类、管理科学与工程类
统计学类、电子信息类,岗位标签,title_or_tag,6,6,government:6,job_6d7e096838b7034e80c0;job_bc0685992c03c1c46875;job_9a5ebad5019bbe01405f,一级行政执法员（六） | 一级行政执法员（一） | 一级行政执法员（五）,统计学类、电子信息类 | 统计学类、电子信息类 | 统计学类、电子信息类
统计学类、自动化类、计算机类,岗位标签,title_or_tag,6,6,government:6,job_933fb4c5d29f88a8de79;job_e6fa6a272530e2c990f9;job_c9a1f04217b7eda941e3,一级行政执法员（三） | 一级行政执法员（一） | 一级行政执法员（二）,统计学类、自动化类、计算机类 | 统计学类、自动化类、计算机类 | 统计学类、自动化类、计算机类
统计学类（统计学、 应用统计学）、会计学、财务管理,岗位标签,title_or_tag,6,6,government:6,job_331221a480c6767da4fb;job_43efedc8e55171d48a6d;job_abbe473a5bed70292c13,三河调查队一级科员 | 易县调查队一级科员 | 青县调查队一级科员,统计学类（统计学、 应用统计学）、会计学、财务管理 | 统计学类（统计学、 应用统计学）、会计学、财务管理 | 统计学类（统计学、 应用统计学）、会计学、财务管理
