month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2025-10,政府信息化建设与管理岗,遥感技术,空间信息技术,73,1,0.013699,215,2,0.009302,当月活跃技能,0,15,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,信息系统,政务信息化,5,2,0.4,5,2,0.4,稳定核心技能,1,7,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,电子信息,通信与电子技术,5,5,1.0,5,5,1.0,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,网络空间安全,网络与安全,5,4,0.8,5,4,0.8,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,自动化,智能化技术,5,3,0.6,5,3,0.6,稳定核心技能,1,6,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,计算机科学与技术,计算机基础,5,5,1.0,5,5,1.0,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,软件工程,软件工程,5,5,1.0,5,5,1.0,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2023-10,政府信息系统开发岗,通信工程,通信与电子技术,5,5,1.0,5,5,1.0,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,信息安全,网络与安全,13,1,0.076923,18,1,0.055556,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,信息管理与信息系统,政务信息化,13,1,0.076923,18,1,0.055556,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,信息系统,政务信息化,13,3,0.230769,18,5,0.277778,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,大数据管理与应用,政务信息化,13,1,0.076923,18,1,0.055556,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,数据分析,数据与统计,13,1,0.076923,18,1,0.055556,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,数据管理,数据与统计,13,1,0.076923,18,1,0.055556,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,电子信息,通信与电子技术,13,10,0.769231,18,15,0.833333,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,电子信息工程,通信与电子技术,13,1,0.076923,18,1,0.055556,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,统计学,数据与统计,13,1,0.076923,18,1,0.055556,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,网络空间安全,网络与安全,13,3,0.230769,18,7,0.388889,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,自动化,智能化技术,13,7,0.538462,18,10,0.555556,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,计算机科学与技术,计算机基础,13,11,0.846154,18,16,0.888889,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,软件工程,软件工程,13,12,0.923077,18,17,0.944444,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2024-10,政府信息系统开发岗,通信工程,通信与电子技术,13,10,0.769231,18,15,0.833333,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,人工智能,智能化技术,4,1,0.25,22,1,0.045455,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,信息安全,网络与安全,4,1,0.25,22,2,0.090909,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,信息管理与信息系统,政务信息化,4,0,0.0,22,1,0.045455,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,信息系统,政务信息化,4,0,0.0,22,5,0.227273,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,大数据管理与应用,政务信息化,4,0,0.0,22,1,0.045455,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,数据分析,数据与统计,4,0,0.0,22,1,0.045455,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,数据科学与大数据技术,数据与统计,4,1,0.25,22,1,0.045455,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,数据管理,数据与统计,4,0,0.0,22,1,0.045455,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,电子信息,通信与电子技术,4,3,0.75,22,18,0.818182,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,电子信息工程,通信与电子技术,4,1,0.25,22,2,0.090909,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,系统运维,网络与基础设施,4,1,0.25,22,1,0.045455,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,统计学,数据与统计,4,0,0.0,22,1,0.045455,当月未出现,0,,2026-08-06T03:30:35+00:00
